[2026-03-27T06:47:49.340Z] "Worker 28552 died"
[2026-03-27T06:47:49.360Z] "Worker 19252 died"
[2026-03-27T06:47:49.377Z] "Worker 1836 died"
[2026-03-27T06:47:49.395Z] "Worker 24224 died"
[2026-03-27T06:47:49.412Z] "Worker 24352 died"
[2026-03-27T06:47:49.429Z] "Worker 19708 died"
[2026-03-27T06:47:49.445Z] "Worker 25640 died"
[2026-03-27T12:18:45.555Z] "Worker 21852 died"
[2026-03-27T12:18:45.582Z] "Worker 7920 died"
[2026-03-27T12:18:45.585Z] "Worker 27432 died"
[2026-03-27T12:18:45.586Z] "Worker 25420 died"
[2026-03-27T12:18:45.600Z] "Worker 11208 died"
[2026-03-27T12:18:45.633Z] "Worker 2948 died"
